event_type,entry,n,mae_mean,mae_p90,mfe_mean,mfe_p90,mfe_mae_ratio
CPI,enter_T+0,19,25.59907399787649,51.71337712128743,31.602406379621577,70.38137450684489,1.235
CPI,enter_T+15,19,21.932180702198703,36.90805726701662,29.301583374805592,89.79332894126779,1.336
CPI,enter_T+30,19,20.324382485690883,35.42510121457343,23.337426076100833,96.19845203506338,1.148
CPI,enter_T+5,19,28.13140104096916,49.49148855169505,26.9212020040031,72.58909214917341,0.957
FED_SPEECH,enter_T+0,8,7.066795961059996,13.928106361641767,43.1962784186668,62.876201365630756,6.113
FED_SPEECH,enter_T+15,8,2.5624708097371496,6.691019735585501,33.94720622016817,52.03665988904538,13.248
FED_SPEECH,enter_T+30,8,13.120488046518968,37.07095921287417,12.12960043076472,22.920566755433967,0.924
FED_SPEECH,enter_T+5,8,5.0407325967377625,12.543029518559456,39.80021779674908,60.27336511525982,7.896
FOMC,enter_T+0,24,35.56402508763674,93.92071907209586,20.49351636741174,63.16057886389735,0.576
FOMC,enter_T+15,24,33.50058143295781,102.52817651151365,10.870856008328802,27.914966716768852,0.324
FOMC,enter_T+30,24,25.04251141082848,84.83142641045612,10.892884156772736,23.21188600763224,0.435
FOMC,enter_T+5,24,38.6457393786128,110.45084459441898,16.066866087372883,42.40586167100435,0.416
GDP,enter_T+0,6,26.391263845425375,53.14531517172871,13.81385847433303,34.34419118114151,0.523
GDP,enter_T+15,6,20.606164496716854,41.50130096775007,12.523625545964498,19.38336356350323,0.608
GDP,enter_T+30,6,7.470289477642944,17.25700053580914,17.891102366832296,27.43519230353875,2.395
GDP,enter_T+5,6,23.78082713863213,46.035451681333825,11.00542740331519,20.76735617798309,0.463
NFP,enter_T+0,9,23.786395930317752,68.7868341183313,31.748218912085083,60.56152079157552,1.335
NFP,enter_T+15,9,12.11728039569494,29.50634285268739,28.310693761634592,45.393783073205185,2.336
NFP,enter_T+30,9,12.873819204169843,29.347970763976775,18.352813551572282,30.707762184445375,1.426
NFP,enter_T+5,9,18.999147220494475,46.38212774033401,28.10570250386767,48.87967792233772,1.479
OTHER,enter_T+0,14,5.562507497313923,9.430199298713472,35.29569264428251,52.129072261914985,6.345
OTHER,enter_T+15,14,5.070890941905842,13.830876300361952,27.649600658700304,46.68301849247003,5.453
OTHER,enter_T+30,14,3.7800633047261174,12.424668855520963,23.071604935885734,35.91435731561954,6.103
OTHER,enter_T+5,14,8.614644282489703,15.57071104959196,27.879994792427656,48.17113515906301,3.236
PPI,enter_T+0,8,32.174195774275915,65.1063242780838,24.409224151961396,54.29639612940894,0.759
PPI,enter_T+15,8,22.535745321402842,46.46405109248374,25.058264977323716,71.5940188808901,1.112
PPI,enter_T+30,8,16.836423835771832,36.43610460865031,20.788171265702925,47.72766151697925,1.235
PPI,enter_T+5,8,30.855780374590275,64.08812036340615,21.26989961811765,49.618504263854376,0.689
UNEMPLOYMENT,enter_T+0,8,26.06520274850532,69.19122924090459,32.56259205242251,68.6293314058106,1.249
UNEMPLOYMENT,enter_T+15,8,13.111311988762282,32.29746285595991,29.27531200299954,47.165856596780515,2.233
UNEMPLOYMENT,enter_T+30,8,13.528892274565218,30.426789982822886,18.507296444630338,31.213276597003013,1.368
UNEMPLOYMENT,enter_T+5,8,20.9688260909055,46.91110630708395,28.17459179356857,51.599593455439184,1.344
