event_type,n_events,bucket,n_minutes,mean_bps,ratio_vs_baseline,cohens_d
CPI,25,PRE_60,570,2.2858,1.0,0.0
CPI,25,PRE_30,475,1.9733,0.8633,-0.1481
CPI,25,PRE_5,95,2.4702,1.0807,0.0853
CPI,25,DURING,19,22.2256,9.7234,3.9064
CPI,25,EARLY_POST,38,4.3664,1.9102,0.8392
CPI,25,POST_5_30,513,3.9005,1.7064,0.5524
CPI,25,POST_30_60,570,3.8081,1.666,0.5319
FED_SPEECH,9,PRE_60,240,2.4646,1.0,0.0
FED_SPEECH,9,PRE_30,200,2.815,1.1421,0.1103
FED_SPEECH,9,PRE_5,40,2.3919,0.9705,-0.0259
FED_SPEECH,9,DURING,8,9.9529,4.0383,2.1649
FED_SPEECH,9,EARLY_POST,16,4.5812,1.8588,0.6808
FED_SPEECH,9,POST_5_30,216,3.5132,1.4254,0.356
FED_SPEECH,9,POST_30_60,240,2.9423,1.1938,0.1714
FOMC,28,PRE_60,720,1.8946,1.0,0.0
FOMC,28,PRE_30,600,2.2883,1.2078,0.17
FOMC,28,PRE_5,120,1.5352,0.8103,-0.1939
FOMC,28,DURING,24,3.6657,1.9348,0.8372
FOMC,28,EARLY_POST,48,4.8361,2.5525,1.2799
FOMC,28,POST_5_30,648,3.4143,1.8021,0.5157
FOMC,28,POST_30_60,720,4.079,2.1529,0.6117
GDP,8,PRE_60,180,1.7514,1.0,0.0
GDP,8,PRE_30,150,1.9317,1.1029,0.1039
GDP,8,PRE_5,30,1.9588,1.1184,0.1316
GDP,8,DURING,6,7.2569,4.1434,2.5649
GDP,8,EARLY_POST,12,4.0982,2.3399,1.1887
GDP,8,POST_5_30,162,2.4439,1.3954,0.3236
GDP,8,POST_30_60,180,2.7122,1.5485,0.497
ISM,32,PRE_60,780,4.1264,1.0,0.0
ISM,32,PRE_30,651,4.6536,1.1277,0.1178
ISM,32,PRE_5,130,3.8635,0.9363,-0.0631
ISM,32,DURING,26,7.2425,1.7551,0.7212
ISM,32,EARLY_POST,52,5.0603,1.2263,0.2175
ISM,32,POST_5_30,702,4.8994,1.1873,0.1617
ISM,32,POST_30_60,780,5.3651,1.3002,0.2455
NFP,20,PRE_60,540,2.1654,1.0,0.0
NFP,20,PRE_30,450,2.4239,1.1194,0.1069
NFP,20,PRE_5,90,2.006,0.9264,-0.0626
NFP,20,DURING,18,11.2923,5.2148,2.3168
NFP,20,EARLY_POST,36,4.1072,1.8967,0.6992
NFP,20,POST_5_30,486,3.4642,1.5998,0.4054
NFP,20,POST_30_60,540,3.4128,1.576,0.4386
OTHER,171,PRE_60,4018,3.2296,1.0,0.0
OTHER,171,PRE_30,3344,3.3847,1.048,0.036
OTHER,171,PRE_5,669,2.9357,0.909,-0.0657
OTHER,171,DURING,135,5.8192,1.8018,0.5346
OTHER,171,EARLY_POST,270,4.3643,1.3514,0.2386
OTHER,171,POST_5_30,3645,3.7084,1.1483,0.1043
OTHER,171,POST_30_60,4020,3.7861,1.1723,0.1254
PPI,10,PRE_60,240,1.956,1.0,0.0
PPI,10,PRE_30,200,2.2452,1.1479,0.1243
PPI,10,PRE_5,40,2.7503,1.4061,0.3124
PPI,10,DURING,8,8.0605,4.1209,2.126
PPI,10,EARLY_POST,16,3.5712,1.8258,0.6658
PPI,10,POST_5_30,216,3.2542,1.6637,0.4333
PPI,10,POST_30_60,239,3.5977,1.8393,0.5664
RETAIL_SALES,18,PRE_60,540,2.0976,1.0,0.0
RETAIL_SALES,18,PRE_30,450,2.4147,1.1511,0.1452
RETAIL_SALES,18,PRE_5,90,2.2615,1.0781,0.0723
RETAIL_SALES,18,DURING,18,5.4332,2.5902,1.3053
RETAIL_SALES,18,EARLY_POST,36,2.222,1.0593,0.056
RETAIL_SALES,18,POST_5_30,486,3.4001,1.6209,0.4449
RETAIL_SALES,18,POST_30_60,538,3.0747,1.4658,0.3954
UNEMPLOYMENT,51,PRE_60,1349,2.2693,1.0,0.0
UNEMPLOYMENT,51,PRE_30,1125,2.8497,1.2558,0.2231
UNEMPLOYMENT,51,PRE_5,225,2.7466,1.2103,0.1839
UNEMPLOYMENT,51,DURING,45,8.5949,3.7875,1.8884
UNEMPLOYMENT,51,EARLY_POST,90,3.6357,1.6021,0.5394
UNEMPLOYMENT,51,POST_5_30,1215,3.1951,1.408,0.3089
UNEMPLOYMENT,51,POST_30_60,1350,3.9541,1.7424,0.4859
